year,month,day,beta_i,lambda_p,alpha,gamma,mu,sigma
2020,1,26,None,0.2,0.83,0.12,0.001,0.15
2020,4,7,None,0.2,0.83,0.12,0.001,0.15
2020,4,16,None,0.2,0.83,0.12,0.001,0.15
2020,5,7,None,0.2,0.83,0.12,0.001,0.15
2020,5,26,None,0.2,0.83,0.12,0.001,0.15
2020,8,8,None,0.2,0.83,0.12,0.001,0.15
2020,11,1,None,0.2,0.83,0.12,0.001,0.15
2020,11,23,None,0.2,0.83,0.12,0.001,0.15
2020,12,23,None,0.2,0.83,0.12,0.001,0.15
2021,1,8,None,0.2,0.83,0.12,0.001,0.15
2021,1,14,None,0.2,0.83,0.12,0.001,0.15
2021,3,22,None,0.25,0.83,0.12,0.001,0.15
2021,4,25,None,0.25,0.83,0.12,0.001,0.15
2021,6,21,None,0.25,0.83,0.12,0.001,0.15
2021,7,12,None,0.25,0.83,0.12,0.001,0.15
2021,8,15,None,0.25,0.83,0.12,0.001,0.15
2021,9,1,None,0.25,0.83,0.12,0.001,0.15
2021,10,1,None,0.25,0.83,0.12,0.001,0.15
2021,12,24,None,0.3333333333333333,0.83,0.12,0.001,0.81
2022,1,21,None,0.3333333333333333,0.83,0.12,0.001,0.81
2022,1,30,None,0.3333333333333333,0.83,0.12,0.001,0.81
2022,2,23,None,0.3333333333333333,0.83,0.12,0.001,0.81
2022,3,26,None,0.3333333333333333,0.83,0.12,0.001,0.81
2022,4,10,None,0.3333333333333333,0.83,0.12,0.001,0.81
2022,5,3,None,0.3333333333333333,0.83,0.12,0.001,0.81
2022,5,28,None,0.3333333333333333,0.83,0.12,0.001,0.81
2022,6,17,None,0.3333333333333333,0.83,0.12,0.001,0.81
2022,7,26,None,0.3333333333333333,0.83,0.12,0.001,0.81
2022,9,1,None,0.3333333333333333,0.83,0.12,0.001,0.81
